ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,HV005,CODCCPP,NOMCCPP,LATITUDY,LONGITUDX,NCONGLOME
2023,      002111201,PE6,21,112,1,2,21,2023,1480,5,2,0,5,5,1,1,1,0,21,1,1,1,2,0, ,0, ,0, ,1,1462,2,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002114401,PE6,21,144,1,2,21,2023,1480,3,1,0,3,3,1,1,1,0,21,1,1,1,2,0, ,0, ,0, ,1,1462,1,1,0,1,010701,9,107410,0079,NUNYA JALCA,-5.89797758,-78.310909622,06721
2023,      002200301,PE6,22,3,1,1,22,2023,1480,2,0,0,2,2,0,1,1,0,22,1,1,1,2,0, ,0, ,0, ,0,469,0,1,0,1,010702,8,677432,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002201301,PE6,22,13,1,2,22,2023,1480,3,1,0,3,3,0,1,1,0,22,1,1,1,2,0, ,0, ,0, ,0,469,1,1,0,1,010702,8,677432,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002202101,PE6,22,21,1,2,22,2023,1480,4,1,0,4,4,1,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002202201,PE6,22,22,1,2,22,2023,1480,5,2,0,5,5,1,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,2,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002203201,PE6,22,32,1,2,22,2023,1480,5,1,0,5,5,2,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002205001,PE6,22,50,1,2,22,2023,1480,5,1,0,5,5,1,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002206501,PE6,22,65,1,2,22,2023,1480,4,1,0,4,4,2,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002207501,PE6,22,75,1,1,22,2023,1480,4,1,0,4,4,1,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002210501,PE6,22,105,1,2,22,2023,1480,5,1,0,5,5,2,1,1,0,22,1,1,1,2,0, ,0, ,0, ,2,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
2023,      002210701,PE6,22,107,1,1,22,2023,1480,3,1,0,3,3,1,1,1,0,22,1,1,1,2,0, ,0, ,0, ,1,469,1,1,0,1,010702,8,94193,0001,CAJARURO,-5.738621747,-78.429184959,06758
