ID1,HHID,HV000,HV001,HV002,HV002A,HV003,HV004,HV007,HV008,HV009,HV010,HV011,HV012,HV013,HV014,HV015,HV017,HV020,HV021,HV023,HV024,HV025,HV026,HV027,HV028,HV030,HV031,HV032,HV033,HV035,HV040,HV041,HV042,HV043,HV044,UBIGEO,HV022,CODCCPP,NOMCCPP,NCONGLOME,HV005,longitudx,latitudy
2021,      000612901,PE6,6,129,1,2,6,2021,1456,5,0,0,5,2,0,1,1,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07099,751663,-77.866991473,-6.235962549
2021,      000613001,PE6,6,130,1,1,6,2021,1456,4,2,0,4,4,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,3,1,0,1,010101,2,0001,CHACHAPOYAS,07099,145650,-77.866991473,-6.235962549
2021,      000613101,PE6,6,131,1,0,6,2021,1456,0,0,0,0,0,0,6,3,0,6,1,1,1,1,0, ,0, ,0, ,0,2338,0,1,0,1,010101,2,0001,CHACHAPOYAS,07099,0,-77.866991473,-6.235962549
2021,      000622801,PE6,6,228,1,2,6,2021,1456,3,1,0,3,3,1,1,1,0,6,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,2,0001,CHACHAPOYAS,07099,145650,-77.866991473,-6.235962549
2021,      000700301,PE6,7,3,1,1,7,2021,1455,2,1,0,2,2,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,48515,136837,-77.859391171,-6.218497082
2021,      000701801,PE6,7,18,1,2,7,2021,1455,6,2,0,6,6,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,48515,706183,-77.859391171,-6.218497082
2021,      000702201,PE6,7,22,1,2,7,2021,1455,5,1,0,5,5,2,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,48515,136837,-77.859391171,-6.218497082
2021,      000704601,PE6,7,46,1,2,7,2021,1455,3,1,0,3,3,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,48515,136837,-77.859391171,-6.218497082
2021,      000706601,PE6,7,66,1,2,7,2021,1455,3,1,0,3,3,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,48515,136837,-77.859391171,-6.218497082
2021,      000707201,PE6,7,72,1,1,7,2021,1455,4,1,0,4,4,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,48515,136837,-77.859391171,-6.218497082
2021,      000708601,PE6,7,86,1,4,7,2021,1455,5,1,0,5,5,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,1,2338,1,1,0,1,010101,4,0001,CHACHAPOYAS,48515,136837,-77.859391171,-6.218497082
2021,      000708701,PE6,7,87,1,1,7,2021,1455,2,2,0,2,2,0,1,1,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,48515,706183,-77.859391171,-6.218497082
2021,      000709801,PE6,7,98,1,1,7,2021,1455,6,2,0,6,6,1,1,1,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,48515,706183,-77.859391171,-6.218497082
2021,      000710101,PE6,7,101,1,1,7,2021,1455,2,2,0,2,2,0,1,1,0,7,1,1,1,1,0, ,0, ,0, ,0,2338,2,1,0,1,010101,4,0001,CHACHAPOYAS,48515,706183,-77.859391171,-6.218497082
2021,      000800701,PE6,8,7,1,2,8,2021,1458,3,1,0,3,2,0,1,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,2,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,816591,-77.873295359,-4.592609503
2021,      000802801,PE6,8,28,1,1,8,2021,1458,1,0,0,1,1,0,1,1,0,8,1,1,1,2,0, ,0, ,0, ,0,189,0,1,0,1,010401,9,0001,SANTA MARIA DE NIEVA,06488,816591,-77.873295359,-4.592609503
